episode,reward,avg_100
1,-185.598445835701,-185.598445835701
2,-195.80290478338026,-190.70067530954063
3,-175.63310638258562,-185.67815233388896
4,-189.52111498958223,-186.63889299781226
5,-181.84521560461678,-185.68015751917318
6,-189.4062152893465,-186.30116714753538
7,-186.70710044791073,-186.3591576190176
8,-183.4204976234866,-185.99182511957622
9,-193.487620286186,-186.82469124919953
10,-196.61746992508037,-187.8039691167876
11,-177.50660616195398,-186.86784521180272
12,-184.92104028864614,-186.70561146820634
13,-168.2170307770652,-185.28341295350316
14,-152.45913394954346,-182.9388215960775
15,-125.14819497192464,-179.0861131544673
16,-164.5732946215026,-178.17906199615703
17,-188.33627815726345,-178.77654529975152
18,-179.64645294492612,-178.82487350226123
19,-182.36899129375854,-179.01140601760318
20,-164.47743761261867,-178.28470759735396
21,-170.45108764678272,-177.91167807589818
22,-147.41993178280802,-176.52568960803043
23,-164.78218465000748,-176.01510243594248
24,-152.9171702866123,-175.05268859638704
25,-160.95735189987528,-174.48887512852656
26,-164.79088212636418,-174.1158753976742
27,-181.45301972500718,-174.3876214838717
28,-132.7510621990237,-172.90060150941284
29,-171.04623619259905,-172.8366578777986
30,-178.69760384255645,-173.0320227432905
31,-151.64189372530035,-172.34201858141986
32,-159.3365358341803,-171.93559724556863
33,-151.72821388046125,-171.32325229511082
34,-168.6481556260151,-171.2445729813139
35,-190.85167999713366,-171.80477603890876
36,-161.0927947100061,-171.5072210019948
37,-191.64292990832692,-172.05142935081457
38,-174.9279643215638,-172.1271276395185
39,-149.21376635480976,-171.53960555529522
40,-180.0924320001832,-171.75342621641738
41,-156.3377468339411,-171.377434036357
42,-148.96633837638723,-170.84383652064344
43,-180.91456369526927,-171.07803947819286
44,-166.12866611069055,-170.96555371984053
45,-150.2408268058654,-170.5050042328633
46,-169.9215038492999,-170.4923194419163
47,-169.3718197150871,-170.46847902219653
48,-162.40998125760763,-170.3005936521009
49,-160.49513394245534,-170.1004822294551
50,-189.82632123739202,-170.49499900961382
51,-158.32157124029186,-170.25630434747026
52,-159.14129335505623,-170.04255413607768
53,-146.39730526524986,-169.59641736492998
54,-150.06568886546432,-169.23473720753248
55,-167.05867805178562,-169.19517249560982
