episode,reward,avg_100
1,-193.6031648491797,-193.6031648491797
2,-184.33367817430502,-188.96842151174235
3,-182.26989862332553,-186.73558054893672
4,-187.93603606824738,-187.0356944287644
5,-192.41036109528895,-188.11062776206933
6,-184.64106235091603,-187.53236686021043
7,-187.89030843000404,-187.58350137018095
8,-189.04550849814106,-187.76625226117596
9,-186.232613408075,-187.59584794416475
10,-186.5486567103088,-187.49112882077912
11,-191.82727765038186,-187.88532416892485
12,-183.94446818710574,-187.5569195037733
13,-192.28791344816256,-187.92084211488014
14,-186.27385390663414,-187.80320010000543
15,-195.1241554308805,-188.29126378873042
16,-186.1596465998791,-188.15803771442722
17,-191.16018786155615,-188.33463478190538
18,-181.56002360091404,-187.95826749407254
19,-184.76948361499228,-187.7904367635946
20,-189.25088301952204,-187.863459076391
21,-189.72850736960584,-187.95227089987742
22,-188.98159308854952,-187.99905827208977
23,-194.88207434413516,-188.29831984043955
24,-189.30703907121833,-188.3403498083887
25,-186.3879803862481,-188.2622550315031
26,-193.45003306443286,-188.46178495584655
27,-186.46660515715746,-188.38788940774697
28,-182.97408449715672,-188.19453923236873
29,-185.09744372325198,-188.08774283550264
30,-188.39099063797795,-188.09785109558513
31,-193.18937835618178,-188.26209391044307
32,-187.07232758496008,-188.22491371277175
33,-182.20527583949422,-188.04250044388453
34,-188.89823360576784,-188.06766906629286
35,-192.9379140582628,-188.20681892320633
36,-190.29443790571588,-188.26480833938714
37,-185.40748163807106,-188.18758329340562
38,-184.94813959464994,-188.1023347750173
39,-175.2903835716767,-187.7738232057009
40,-195.5662244601358,-187.96863323706174
41,-190.98532068436697,-188.04221097967897
42,-188.01707814842294,-188.04161257893477
43,-182.4227180654542,-187.91094061350498
44,-192.96892691725387,-188.02589484768112
45,-191.18653896619605,-188.0961313836481
46,-187.5545887762272,-188.08435871826939
47,-192.65543167325026,-188.18161558965198
48,-192.35766137973096,-188.2686165436119
49,-195.77905147032484,-188.42189072578972
50,-186.16712988660402,-188.376795509006
51,-182.01502471116027,-188.25205490512667
52,-190.19009966185422,-188.2893249966022
53,-183.50193746767235,-188.19899693001864
54,-192.23272663873914,-188.27369562832826
55,-190.86194880286106,-188.32075477695614
56,-175.88088145581358,-188.09861418193574
57,-191.8210387456866,-188.16391987603666
58,-191.5460975594229,-188.2222332843709
59,-190.91880574496136,-188.267937902347
60,-194.64742018176702,-188.374262607004
61,-184.5129351576818,-188.31096215701513
62,-184.24483686267035,-188.24537949097729
63,-184.23746492475064,-188.18176179944987
64,-189.68294392392525,-188.2052177701448
65,-190.94345522898575,-188.2473445002808
66,-190.22738631473024,-188.27734513383308
67,-186.17527639370556,-188.24597097353268
68,-191.6963485005048,-188.29671181951758
69,-190.1838412786905,-188.32406152182443
70,-193.8187810548852,-188.40255751515386
71,-184.56153074819025,-188.34845854660506
72,-193.09260879034986,-188.41434952221263
