episode,reward,avg_100
1,-161.19916193884998,-161.19916193884998
2,-158.9618855594152,-160.0805237491326
3,-158.36664515957887,-159.50923088594803
4,-155.6768186210953,-158.55112781973483
5,-158.87377595338788,-158.61565744646543
6,-159.5166449084626,-158.76582202346495
7,-158.57916763225356,-158.73915711043475
8,-155.69026469739276,-158.35804555880452
9,-158.05980637231113,-158.32490787141637
10,-162.93726328474182,-158.7861434127489
11,-158.7302583677662,-158.78106295411413
12,-159.98353392566932,-158.8812688684104
13,-162.08283448271177,-159.12754314643357
14,-162.01486326571774,-159.33378029781102
15,-160.44506265498424,-159.40786578828923
16,-157.54827068798866,-159.29164109452043
17,-160.32978695048567,-159.3527084978125
18,-156.26163631768364,-159.1809822655831
19,-161.04810583995703,-159.27925192739227
20,-155.50721470121684,-159.0906500660835
21,-160.6058351245395,-159.1628017355338
22,-159.73593791977288,-159.18885338027192
23,-157.49229352614122,-159.1150899083532
24,-156.2213204601184,-158.9945161813434
25,-150.69388105549618,-158.6624907763095
26,-154.71866215826927,-158.51080506023104
27,-162.46628594047144,-158.6573043520918
28,-160.60961904195236,-158.72702987672966
29,-157.1232159160695,-158.67172594705173
30,-158.69661357604446,-158.67255553468482
31,-156.6407401003268,-158.60701310131844
32,-153.4247819756895,-158.44506837864253
33,-160.2007648016789,-158.49827130055272
34,-157.8184384085262,-158.4782762154931
35,-161.49547006689892,-158.5644817541047
36,-159.30052973049996,-158.58492753122678
37,-157.2826471078415,-158.54973076302718
38,-162.16895303600475,-158.64497345442132
39,-156.2429462251459,-158.58338301264504
40,-160.97430919516424,-158.64315616720802
41,-160.44279140948598,-158.68704970970262
42,-156.6981552350432,-158.63969507935357
43,-160.03806270493453,-158.67221525669268
44,-159.4126213371172,-158.6890426676114
45,-153.9478810448558,-158.58368352043905
46,-160.21510884768753,-158.61914928842273
47,-156.97884386479774,-158.58424917302645
48,-157.72613578695893,-158.56637181081672
49,-155.03692922812618,-158.49434237035365
50,-160.8289969438727,-158.54103546182404
51,-157.25647259198922,-158.51584795457237
52,-155.26830895218143,-158.45339528144947
53,-157.30972707307356,-158.43181663600842
54,-155.0449694853561,-158.36909724432968
55,-148.30889477729997,-158.18618447220186
56,-161.749809522288,-158.24982063381054
57,-157.08067099593086,-158.22930923665476
58,-150.67685154437692,-158.09909444885687
59,-158.07153144244575,-158.09862727925668
60,-161.0217458149692,-158.14734592151854
61,-161.40256521168854,-158.20071017217705
62,-152.0483336978828,-158.1014782935594
63,-160.7990523298906,-158.14429692905674
64,-152.47345649522202,-158.05569004727806
65,-159.4554096363367,-158.07722419480206
66,-158.58277542339766,-158.084884061902
67,-158.62798435781278,-158.0929900364678
68,-152.07393127171514,-158.00447446639794
69,-153.3226996685772,-157.93662265773386
70,-159.49601580898906,-157.95889970275178
71,-153.48179075409809,-157.89584183023555
72,-160.31821135196242,-157.92948585137063
73,-155.4641982404981,-157.89571478820798
74,-158.3815805539581,-157.9022805417992
75,-157.78683808686577,-157.90074130906675
76,-152.5432631129675,-157.83024817490755
77,-159.1477575433658,-157.84735868618623
78,-158.7652198287471,-157.85912613673187
79,-163.45257262609005,-157.92992925685036
80,-161.06255266112547,-157.96908704940378
81,-156.44186784303182,-157.95023249130043
82,-159.9404738722572,-157.97450372765357
83,-154.94266273847808,-157.9379755229647
84,-160.0914456018105,-157.9636120715224
85,-160.20044588146038,-157.989927763404
86,-158.84602318104479,-157.99988236128357
87,-159.2152651933081,-158.01385227889304
88,-158.72732610538387,-158.02195993601225
89,-156.29949879573337,-158.00260644005405
90,-162.33666816162176,-158.05076268140482
91,-160.80646412466427,-158.08104511484723
92,-160.9173199483331,-158.11187418912425
93,-154.47131153142027,-158.07272835409518
94,-160.77065769319393,-158.10142973004304
95,-156.49360717167082,-158.08450528206018
96,-160.3153169778046,-158.10774290389082
97,-155.76030161605024,-158.08354247824298
98,-158.70860083227052,-158.08992062471265
99,-154.67512972380524,-158.05542778732976
100,-157.64925356249728,-158.05136604508144
101,-158.61072240996347,-158.02548164979257
102,-157.3034480163998,-158.0088972743624
103,-157.080216655322,-157.99603298931981
104,-161.76578510859812,-158.05692265419486
105,-154.7923519396844,-158.01610841405784
106,-153.36370501527134,-157.95457901512594
107,-153.7851772941139,-157.90663911174454
108,-153.78936483608953,-157.8876301131315
109,-161.28938620876954,-157.91992591149608
110,-158.27369206411916,-157.87329019928987
111,-158.08195020821898,-157.86680711769438
112,-159.74100432766906,-157.8643818217144
113,-159.01538216194768,-157.83370729850674
114,-157.78380979518812,-157.79139676380146
115,-159.07527924689379,-157.77769892972051
116,-159.16851628380596,-157.7939013856787
117,-155.80509553059505,-157.7486544714798
118,-157.53085294857803,-157.76134663778873
119,-155.55829340294682,-157.70644851341865
120,-160.8900116359855,-157.7602764827663
121,-155.342579867023,-157.70764393019118
122,-160.5381892495411,-157.71566644348886
123,-162.71351622642618,-157.7678786704917
124,-158.27163348119348,-157.78838180070244
125,-156.04217082749253,-157.84186469842243
126,-160.79798310117945,-157.9026579078515
127,-160.20904424125075,-157.8800854908593
128,-156.85896970991686,-157.84257899753894
129,-159.45925056667343,-157.865939344045
130,-156.7938206896447,-157.84691141518098
131,-158.85261336497095,-157.86903014782743
132,-157.07104292524136,-157.90549275732295
133,-156.63628600601848,-157.86984796936633
134,-161.5941559076113,-157.9076051443572
135,-158.01799868906375,-157.87283043057883
136,-157.60558782083484,-157.8558810114822
137,-157.22874953814215,-157.8553420357852
138,-159.65789902481242,-157.8302314956733
139,-160.17155657102165,-157.86951759913205
140,-157.8814205575004,-157.8385887127554
141,-157.270446623535,-157.80686526489592
142,-158.8580163134167,-157.82846387567963
143,-158.609905370182,-157.8141823023321
144,-159.56409119782313,-157.81569700093917
145,-157.73525216040554,-157.85357071209467
146,-157.055236714049,-157.82197199075827
147,-158.08305331767195,-157.833014085287
148,-155.80080272073684,-157.8137607546248
149,-155.90740389529827,-157.8224655012965
150,-157.9398122604414,-157.79357365446222
151,-157.1249341463914,-157.79225827000624
152,-160.2157620590832,-157.84173280107524
153,-160.8444030332596,-157.8770795606771
154,-159.69294503061272,-157.92355931612965
155,-159.0530711871028,-158.0310010802277
156,-160.15886990587052,-158.01509168406355
157,-158.98256976172166,-158.03411067172144
158,-157.95726421890515,-158.1069147984667
159,-159.01290851705258,-158.11632856921275
160,-157.21368051701137,-158.0782479162332
161,-156.8598588840987,-158.03282085295731
162,-155.01472308119293,-158.0624847467904
163,-160.41046091118895,-158.0585988326034
164,-157.09818488894268,-158.10484611654059
165,-156.50813514760574,-158.07537337165328
166,-157.4128260919516,-158.06367387833882
167,-159.42259491726682,-158.07161998393337
168,-156.29337228042476,-158.11381439402047
169,-159.3309549085074,-158.17389694641977
170,-155.86391212149317,-158.13757590954484
171,-159.99350202832005,-158.202693022287
172,-160.4464357515383,-158.20397526628278
173,-156.6273737878938,-158.21560702175674
174,-158.48274919908056,-158.21661870820796
175,-155.99483756308894,-158.1986987029702
176,-156.3442717882611,-158.23670878972314
177,-156.34308219491865,-158.20866203623865
178,-158.34715778139565,-158.20448141576514
179,-160.12944443465156,-158.17125013385078
180,-156.24670549734245,-158.12309166221294
181,-158.9682473903087,-158.1483554576857
182,-156.4538062786354,-158.11348878174948
183,-157.929550354246,-158.14335765790716
184,-159.3888452359314,-158.13633165424838
185,-159.59162096219166,-158.1302434050557
186,-158.08972577462956,-158.12268043099152
187,-156.71054470636142,-158.0976332261221
188,-158.19576434667962,-158.09231760853504
189,-155.9025244803478,-158.08834786538117
190,-159.23095096175018,-158.05729069338247
191,-154.21969704765476,-157.99142302261234
192,-158.47843315541513,-157.96703415468318
193,-156.33410009422448,-157.9856620403112
194,-155.48265567800698,-157.93278202015932
195,-155.04443248994625,-157.91829027334208
196,-156.009781793519,-157.8752349214992
197,-158.49348863647828,-157.90256679170352
198,-156.71511529386055,-157.88263193631943
199,-156.78705614115694,-157.90375120049296
200,-152.89013915075537,-157.85616005637553
201,-157.5841389610539,-157.84589422188645
202,-159.0859093414927,-157.86371883513738
203,-158.20967720109672,-157.87501344059513
204,-155.78614620065284,-157.81521705151567
205,-156.38491671203303,-157.83114269923917
206,-154.32729037767837,-157.84077855286324
207,-157.75138893302776,-157.88044066925238
