episode,reward,avg_100
1,-177.8384605399677,-177.8384605399677
2,-183.85226111061976,-180.84536082529374
3,-191.29579965955026,-184.32884043671257
4,-189.09135178962745,-185.5194682749413
5,-185.7935712279976,-185.57428886555255
6,-185.9900156050129,-185.64357665546262
7,-192.16661986833788,-186.57543997158766
8,-185.8598281924195,-186.48598849919165
9,-189.5821427620629,-186.83000563951066
10,-194.52951503487867,-187.59995657904747
11,-185.75469278754076,-187.43220532527414
12,-194.45964900265858,-188.01782563172287
13,-189.50704737422276,-188.1323811503767
14,-189.1284822427047,-188.20353122840012
15,-190.31751523847456,-188.34446349573844
16,-191.07680362729855,-188.51523475396093
17,-192.17013585193013,-188.7302289361944
18,-195.83895571602787,-189.1251582017407
19,-192.86299407890226,-189.32188640580185
20,-192.82255299286544,-189.49691973515502
21,-196.24874484331434,-189.81843521649594
22,-194.2535847809394,-190.02003292397066
23,-193.1657480440761,-190.15680314658394
24,-194.6735895161016,-190.34500257864715
25,-195.1900556838527,-190.53880470285537
26,-183.87550579580014,-190.28252397566095
27,-195.6027682373746,-190.4795700594281
28,-187.1464976976416,-190.36053176079287
29,-184.22249503096677,-190.14887532183334
30,-192.04821907320797,-190.2121867802125
31,-191.3336257489781,-190.24836223081786
32,-187.55873189090758,-190.16431128269565
33,-178.51366273917014,-189.81126132683124
34,-190.46500398426747,-189.83048905204996
35,-184.10178047098626,-189.66681166401955
36,-196.3081084596675,-189.85129213056535
37,-187.75120053449533,-189.79453289823914
38,-195.83177416938975,-189.95340766853258
39,-192.68984927552162,-190.02357283794254
40,-189.24982472665266,-190.0042291351603
41,-192.1396228085602,-190.05631190768227
42,-185.69016754765468,-189.95235608958637
43,-183.455440179523,-189.8012650219105
44,-187.98059504670073,-189.75988615883753
45,-191.89513842274266,-189.8073362091465
46,-192.3274457946334,-189.86212120013536
47,-183.2428681182398,-189.72128602818015
48,-190.92844446805793,-189.74643516234428
49,-192.6879733357457,-189.8064665536382
50,-191.92684950180788,-189.84887421260157
51,-192.58448259231338,-189.90251359259594
52,-195.48367817583798,-190.00984368073523
53,-189.14131305978796,-189.9934563105287
54,-194.54185541700676,-190.0776859236116
55,-186.15872071472043,-190.00643201072268
56,-182.82180689358447,-189.87813513363088
57,-181.69999677894302,-189.73465902214514
58,-192.3349024452461,-189.77949080530203
59,-177.43192238860934,-189.5702099846801
60,-178.49252859416552,-189.3855819615049
61,-195.32188816694574,-189.48289845667605
62,-187.26918571039732,-189.44719341238124
63,-195.81873128234395,-189.5483289341267
64,-181.2327044879964,-189.41839730215588
65,-186.26569156163671,-189.36989413691714
66,-189.35233996734732,-189.36962816465092
67,-185.33417360454715,-189.30939749957474
68,-184.07044738231426,-189.23235411549737
69,-194.50451619790945,-189.30876226161928
70,-187.03647444784116,-189.27630100713674
71,-192.88783620836287,-189.32716770011174
72,-189.49451343871448,-189.32949194648123
73,-183.98794584661402,-189.2563200820995
74,-193.00484266564848,-189.306975792688
75,-180.91831655773356,-189.19512700288863
76,-194.5896236259415,-189.266107221613
77,-187.44838083661517,-189.2425003854442
78,-187.1869804794991,-189.2161475661372
79,-186.50720830472557,-189.18185719573958
80,-186.1485041395586,-189.14394028253733
81,-195.99056965194208,-189.2284665710485
82,-191.35187249665307,-189.25436176526318
83,-187.95989326757126,-189.23876575926687
84,-190.4234562175985,-189.25286921710418
85,-195.10272999345074,-189.32169110859058
86,-192.69488466601314,-189.36091428949084
87,-186.55662290021738,-189.32868105513137
88,-187.78303312707314,-189.31111687413076
89,-188.50212762118088,-189.30202710724367
