epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.37789,1.50216,3.49453,1.53835,0.03736,0.62847,0.22463,0.12841,1.14071,2.99668,1.09429,0.00017148,0.00017148,0.00017148
2,8.11876,1.29674,2.0383,1.32413,0.91817,0.23154,0.48303,0.31831,1.19264,2.50921,1.0767,0.000353713,0.000353713,0.000353713
3,10.6232,1.24445,1.47822,1.32963,0.95674,0.35368,0.55067,0.3427,1.35572,2.74063,1.35149,0.000532268,0.000532268,0.000532268
4,13.1574,1.18834,1.2425,1.29749,0.86116,0.55698,0.664,0.43063,1.30607,1.8622,1.25079,0.000707145,0.000707145,0.000707145
5,15.6592,1.17075,1.15563,1.27051,0.88253,0.60824,0.76446,0.49848,1.23526,1.39786,1.14838,0.000878343,0.000878343,0.000878343
6,18.1388,1.14314,1.08349,1.25628,0.75435,0.73439,0.85861,0.5618,1.25351,1.10707,1.2546,0.00104586,0.00104586,0.00104586
7,20.5036,1.14186,1.09138,1.24461,0.53008,0.6847,0.76896,0.5055,1.20759,1.58453,1.17248,0.00120971,0.00120971,0.00120971
8,23.0354,1.1025,1.0547,1.21208,0.83159,0.71653,0.84565,0.5441,1.18496,1.26201,1.1735,0.00132997,0.00132997,0.00132997
9,25.3307,1.12489,1.05393,1.25162,0.83237,0.78452,0.88372,0.55806,1.15943,1.25414,1.18658,0.00131582,0.00131582,0.00131582
10,27.6148,1.12479,1.05638,1.21545,0.85619,0.76029,0.87049,0.59529,1.1014,1.28737,1.14864,0.00130168,0.00130168,0.00130168
11,30.012,1.11692,0.9837,1.22016,0.77528,0.79608,0.85413,0.55843,1.14874,1.00327,1.1349,0.00128753,0.00128753,0.00128753
12,32.4655,1.12422,1.01563,1.21883,0.8336,0.85621,0.89659,0.57113,1.13675,1.11534,1.13207,0.00127338,0.00127338,0.00127338
13,34.732,1.10332,0.97899,1.19803,0.79329,0.73153,0.85411,0.55174,1.26984,1.2571,1.1999,0.00125923,0.00125923,0.00125923
14,36.9524,1.08023,0.95643,1.18267,0.82136,0.80568,0.85883,0.56955,1.20916,1.26446,1.15278,0.00124509,0.00124509,0.00124509
15,39.2155,1.08318,0.9421,1.19264,0.83452,0.86757,0.89607,0.59916,1.16319,1.01696,1.12186,0.00123094,0.00123094,0.00123094
16,41.6408,1.0796,0.92384,1.17515,0.8309,0.89385,0.89782,0.61196,1.08215,0.81566,1.09283,0.00121679,0.00121679,0.00121679
17,44.0848,1.07904,0.91396,1.19593,0.8398,0.88765,0.89669,0.61473,1.10852,0.82851,1.11297,0.00120265,0.00120265,0.00120265
18,46.5693,1.06969,0.89414,1.18325,0.8224,0.91444,0.89945,0.60881,1.1018,0.83655,1.1114,0.0011885,0.0011885,0.0011885
19,48.7682,1.08418,0.90715,1.19486,0.81632,0.90721,0.89667,0.59859,1.09873,0.81311,1.09516,0.00117435,0.00117435,0.00117435
20,51.0277,1.07695,0.89448,1.18367,0.82743,0.90807,0.898,0.60245,1.11909,0.85754,1.16449,0.00116021,0.00116021,0.00116021
21,53.3021,1.06287,0.89283,1.16944,0.83552,0.89533,0.89999,0.598,1.09333,0.88312,1.11851,0.00114606,0.00114606,0.00114606
22,55.8373,1.06532,0.8992,1.17978,0.80558,0.89662,0.88787,0.60653,1.05731,0.80404,1.11461,0.00113191,0.00113191,0.00113191
23,58.0545,1.04521,0.85685,1.16021,0.84288,0.83154,0.89197,0.58665,1.14561,0.89147,1.21449,0.00111776,0.00111776,0.00111776
24,60.3899,1.02937,0.82407,1.14542,0.83225,0.90097,0.90708,0.62539,1.05813,0.82871,1.14151,0.00110362,0.00110362,0.00110362
25,62.7618,1.01896,0.83329,1.14279,0.85877,0.85585,0.90495,0.60964,1.11009,0.85378,1.12668,0.00108947,0.00108947,0.00108947
26,64.9408,1.02671,0.83207,1.15123,0.86324,0.85019,0.90213,0.60833,1.09026,0.97702,1.12599,0.00107532,0.00107532,0.00107532
27,67.199,1.03209,0.82491,1.14466,0.83998,0.88081,0.8987,0.60349,1.1013,0.94214,1.11493,0.00106118,0.00106118,0.00106118
28,69.4667,1.04442,0.83798,1.14981,0.83387,0.89614,0.89,0.60514,1.06775,0.77861,1.11507,0.00104703,0.00104703,0.00104703
29,71.8064,1.01277,0.79121,1.14174,0.83419,0.7686,0.83679,0.5397,1.21764,1.25432,1.24843,0.00103288,0.00103288,0.00103288
30,74.0053,1.00734,0.80308,1.12475,0.83626,0.87141,0.8963,0.60761,1.08035,0.80136,1.12236,0.00101873,0.00101873,0.00101873
31,76.381,1.01921,0.8053,1.14046,0.862,0.86711,0.90106,0.61016,1.07368,0.78186,1.13201,0.00100459,0.00100459,0.00100459
32,78.8386,1.02133,0.79305,1.14581,0.84142,0.89814,0.89804,0.60406,1.07816,0.78245,1.14225,0.00099044,0.00099044,0.00099044
33,81.1357,1.01458,0.77915,1.13595,0.8212,0.92007,0.90048,0.60957,1.05412,0.74179,1.1175,0.000976293,0.000976293,0.000976293
34,83.5044,0.97954,0.75391,1.11486,0.81528,0.89281,0.8889,0.5979,1.0727,0.81607,1.14293,0.000962146,0.000962146,0.000962146
35,85.8053,0.99916,0.75356,1.1276,0.83384,0.88874,0.89685,0.60809,1.08919,0.75273,1.12787,0.000947999,0.000947999,0.000947999
36,88.091,0.99146,0.7429,1.1125,0.82651,0.89564,0.90112,0.60084,1.10312,0.78169,1.1407,0.000933851,0.000933851,0.000933851
37,90.3844,0.97106,0.73437,1.10483,0.83777,0.90097,0.90584,0.60983,1.12688,0.78367,1.14191,0.000919704,0.000919704,0.000919704
