epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,83.9917,1.94622,2.61786,1.04632,0.27542,0.16154,0.10322,0.0528,1.81209,1.68005,0.98516,0.00995074,0.00331691,0.00995074,0.00331691,0.00995074,0.00331691,0.00995074,0.00331691
2,156.255,1.86273,1.59943,0.99015,0.21736,0.1753,0.12293,0.06355,1.84908,1.52515,0.98695,0.0197532,0.00658441,0.0197532,0.00658441,0.0197532,0.00658441,0.0197532,0.00658441
3,221.269,1.8702,1.52893,0.99034,0.22486,0.20085,0.13345,0.07139,1.78544,1.44815,0.97814,0.0293577,0.0097859,0.0293577,0.0097859,0.0293577,0.0097859,0.0293577,0.0097859
4,285.697,1.84812,1.48607,0.98788,0.24762,0.22171,0.15742,0.08051,1.74656,1.4584,0.98633,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,352.28,1.79953,1.40754,0.9722,0.27945,0.24931,0.19827,0.10716,1.63599,1.33566,0.95075,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,417.153,1.74958,1.35105,0.96167,0.32728,0.26395,0.20457,0.10659,1.641,1.26883,0.94644,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,479.666,1.71838,1.3085,0.9567,0.31285,0.25355,0.20519,0.11035,1.62184,1.24093,0.95192,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,544.869,1.7012,1.28153,0.95225,0.33997,0.25936,0.21866,0.11825,1.60621,1.21096,0.94215,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,610.299,1.69419,1.26725,0.94644,0.32542,0.25963,0.20629,0.10931,1.61231,1.23721,0.93915,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,672.809,1.67465,1.24498,0.94493,0.37471,0.2774,0.23562,0.12575,1.58608,1.17577,0.93489,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,736.162,1.66271,1.22423,0.93985,0.35892,0.27259,0.22303,0.12114,1.56802,1.20897,0.92999,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,799.468,1.64419,1.20476,0.93607,0.36174,0.26786,0.22908,0.12405,1.54465,1.18873,0.92899,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,862.506,1.64851,1.19653,0.93455,0.37787,0.27056,0.23344,0.12585,1.5759,1.17158,0.93182,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,925.321,1.62539,1.18075,0.93195,0.35856,0.28083,0.24281,0.13345,1.54878,1.15406,0.92892,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,999.09,1.62017,1.17316,0.92805,0.36842,0.2925,0.25271,0.1361,1.54307,1.13346,0.92628,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1069.4,1.60914,1.16395,0.92697,0.3875,0.27724,0.2444,0.13183,1.56204,1.16248,0.92828,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1133.61,1.60596,1.15046,0.92588,0.38522,0.30128,0.26598,0.14613,1.51078,1.10138,0.92276,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1197.41,1.5933,1.14035,0.9249,0.36892,0.29568,0.2567,0.13969,1.5221,1.11248,0.91928,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1264.45,1.58246,1.1345,0.92187,0.38107,0.30065,0.26206,0.1427,1.50687,1.10053,0.91656,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1332.62,1.58198,1.12676,0.92107,0.40503,0.30367,0.2667,0.14452,1.51109,1.10528,0.91708,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1396.92,1.58906,1.12777,0.92121,0.39563,0.30018,0.26779,0.14691,1.4992,1.09302,0.91628,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
