episode,reward,avg_100
1,-197.97521461699603,-197.97521461699603
2,-192.1082154610484,-195.04171503902222
3,-191.0286429769237,-193.70402435165605
4,-195.45003828522655,-194.1405278350487
5,-187.09726081411483,-192.73187443086192
6,-193.46235454639975,-192.8536211167849
7,-190.81193710322597,-192.56195197199077
8,-184.870395850478,-191.60050745680167
9,-189.56777690304102,-191.3746485063838
10,-194.55456597058523,-191.69264025280395
11,-183.09266192671458,-190.9108240413413
12,-187.68720271681258,-190.6421889309639
13,-193.30722199830143,-190.84719147460524
14,-193.4488277639211,-191.0330226381278
15,-197.11393202554646,-191.43841659728906
16,-191.0167777415938,-191.4120641688081
17,-181.82909657620914,-190.84836019277284
18,-189.61215595314482,-190.77968217946017
19,-186.84951876654569,-190.5728314735173
20,-194.41559114991793,-190.76496945733734
21,-185.6907380188318,-190.5233393888371
22,-186.92347616500876,-190.35970924229943
23,-194.23853336556095,-190.52835376939777
24,-186.82496406882623,-190.37404586520725
25,-191.07272220441908,-190.40199291877573
26,-193.93178852416617,-190.53775428821382
27,-193.94706840187376,-190.66402518131233
28,-184.90750710069668,-190.45843524986176
29,-192.96712425748416,-190.54494176736597
30,-185.97566801025107,-190.3926326421288
31,-195.87698820004545,-190.56954733754546
32,-196.67075456333114,-190.76021006335134
33,-185.06899811935443,-190.58774909535143
34,-193.5746307075471,-190.67559855453365
35,-191.8670170678315,-190.70963908348503
36,-177.16074642030546,-190.33328095395225
37,-191.89860893707475,-190.37558711565825
38,-187.3411203114586,-190.29573272607405
39,-182.36253932689812,-190.0923175107106
40,-192.82751224375076,-190.16069737903658
41,-193.33639769962613,-190.2381534844168
42,-194.0651858427986,-190.32927330247352
43,-190.69690169045376,-190.3378227998684
44,-189.36809661320595,-190.31578356835334
45,-188.69116894020937,-190.27968102106126
46,-184.89352656520794,-190.16259070680354
47,-176.3096353624474,-189.86784697607257
48,-196.3087742659487,-190.00203296127836
49,-186.69177447363953,-189.93447666561227
50,-174.9996840645264,-189.63578081359057
51,-187.92575182403144,-189.60225083340316
52,-190.90402979894893,-189.62728504427903
53,-189.83241110338784,-189.63115534728107
54,-183.84379400342394,-189.52398198906147
55,-178.02412471288946,-189.31489367494925
56,-176.1562612278731,-189.07991809553715
57,-181.5712348572214,-188.94818681065442
58,-189.12006732157886,-188.95115026773934
59,-174.22983314554432,-188.7016364182106
60,-194.54417477995506,-188.79901205757304
61,-193.08216472976437,-188.86922767514994
62,-183.27315569536827,-188.77896844966958
63,-181.13271002586157,-188.6575992683393
64,-195.93440000068594,-188.77129927978223
65,-180.39037183242132,-188.6423619344382
66,-187.04562024080806,-188.6181688784741
67,-187.16260896823374,-188.5964441036944
68,-186.3467739044232,-188.56336071841102
69,-184.8949350553634,-188.51019512909147
70,-180.75043328135138,-188.39934138840948
71,-192.24536282001483,-188.45351070434756
72,-181.6748546701132,-188.35936270387208
73,-191.4868559999355,-188.40220507779077
74,-196.5594135475385,-188.51243762467925
75,-170.06548455477795,-188.2664782504139
76,-194.69444853309108,-188.35105680676492
77,-177.0683702156401,-188.2045284094776
78,-176.13900501088327,-188.04984221205973
79,-187.8185167408798,-188.04691404153846
80,-170.5262015443598,-187.82790513532373
81,-186.39322068352482,-187.81019298159782
82,-181.35973117723137,-187.73152881325188
83,-174.41164527410766,-187.5710482886839
84,-191.23028713323393,-187.6146106558809
85,-178.21916967309122,-187.5040760560834
86,-180.77874697592424,-187.4258745551513
87,-191.2050738394891,-187.46931362738505
88,-172.84330045415027,-187.30310893223466
89,-178.58978842396604,-187.2052064546137
90,-188.65430810134248,-187.2213075840218
91,-184.8177003841376,-187.194894318089
92,-172.1627720295426,-187.03150168451785
93,-190.94758413877253,-187.07361009800445
94,-182.62601709464406,-187.0262952788198
95,-192.51679057359237,-187.08408996613315
96,-166.0235498464272,-186.8647093398862
97,-190.05816024747512,-186.89763151419123
