episode,reward,avg_100
1,-194.8480138008573,-194.8480138008573
2,-184.030705731124,-189.43935976599064
3,-177.9307906526504,-185.6031700615439
4,-175.75119912133962,-183.14017732649282
5,-169.00288948210402,-180.31271975761507
6,-177.5756777052624,-179.85654608222296
7,-186.52890114896263,-180.80973966318578
8,-179.99356965588578,-180.70771841227327
9,-155.69519552634992,-177.92854920272623
10,-172.18442840865325,-177.35413712331894
11,-178.79622251901296,-177.48523579565475
12,-184.40474510192658,-178.0618615711774
13,-172.3229640283024,-177.62040791403317
14,-180.8926826057287,-177.85414182058284
15,-165.56464208967006,-177.034841838522
16,-159.64920636415542,-175.94823962137409
17,-148.5121051665161,-174.3343493593236
18,-176.29064172408727,-174.44303226847717
19,-166.47430079421835,-174.02362534877932
20,-129.21635628081748,-171.78326189538123
21,-161.13333720540712,-171.2761226244301
22,-168.56833479565756,-171.15304135948588
23,-161.25365176175234,-170.72263311610615
24,-167.7162133162266,-170.5973656244445
25,-139.15268297046197,-169.3395783182852
26,-134.13997233622263,-167.98574731897511
27,-165.92246324679965,-167.909329390376
28,-130.48652233436678,-166.5728005669471
29,-163.48144017758764,-166.46620193283127
30,-165.8221856358225,-166.44473472293097
31,-157.52958291178206,-166.15714918063586
32,-176.01605455086178,-166.46523997345543
33,-158.7063451988846,-166.23012194998358
34,-148.345597579079,-165.70410652730993
35,-125.14317890296795,-164.54522288090013
36,-152.8127841815752,-164.21932180591887
37,-127.77080337251714,-163.23422671312426
38,-177.33152660641844,-163.60520828926357
39,-142.43967361768065,-163.06250227204347
40,-169.9337348701646,-163.23428308699653
41,-149.5249351695952,-162.89990874754773
42,-144.5044893664499,-162.4619225718073
43,-140.88943458281,-161.9602368046213
44,-158.12604769500567,-161.87309614303913
45,-178.2763872679504,-162.23761372359272
46,-165.2934375286963,-162.30404467587758
47,-142.7573105123285,-161.888156714951
48,-187.697724158691,-162.4258560366956
49,-144.05711832865813,-162.05098383857236
50,-175.68335096783426,-162.32363118115762
51,-166.40493800986917,-162.40365680525
52,-166.04233589908358,-162.47363140320834
53,-158.29037991142454,-162.39470212977844
54,-171.45830471135167,-162.5625466220298
55,-159.3530949621731,-162.50419295548696
56,-112.48781486442145,-161.6110433467179
57,-165.16713980192608,-161.67343100382683
58,-140.06859199696063,-161.3009337795705
59,-138.27053544561986,-160.91058804509674
60,-146.3651125494224,-160.66816345350216
61,-170.11261155542576,-160.82299047156647
62,-115.75020569928762,-160.0960100720136
63,-171.86363051886366,-160.28279769815404
64,-133.83306514787307,-159.86952062705598
65,-181.6569384017168,-160.20471166974306
66,-164.54477461975995,-160.27047019928878
67,-109.50505321618175,-159.51277740849613
68,-150.01695396319585,-159.37313294606525
69,-154.95549645028544,-159.3091092287351
70,-143.50768928861658,-159.083374658162
71,-145.2212097291505,-158.88813289859846
72,-141.39188057947922,-158.64512939416622
73,-145.45405168425341,-158.46442969950988
74,-168.40515824382985,-158.5987638690277
75,-122.05247194022472,-158.11147997664366
76,-149.99465885790653,-158.00467969876556
77,-155.5718325014119,-157.97308428061808
78,-155.94434949463508,-157.94707486028497
79,-155.3622713036742,-157.91435582792283
80,-157.13357483715436,-157.90459606553821
81,-128.86816381380964,-157.54612159329466
82,-149.69528565043504,-157.45037969155248
83,-141.21223284954954,-157.25473936815487
84,-130.8269732374091,-156.94012310469358
85,-148.88473443597422,-156.84535382623807
86,-152.79422807268534,-156.79824771282466
87,-153.002553495714,-156.7546190436625
88,-155.552740573332,-156.74096133377236
89,-158.46480510383984,-156.76033036489673
90,-161.20073181414915,-156.80966815877733
91,-136.0156857244938,-156.58116285730168
92,-156.2126521579644,-156.57715730622195
93,-146.29637170508775,-156.4666112244893
94,-117.71191564426967,-156.05432722895506
95,-130.701386299315,-155.7874541665378
96,-59.22824527476867,-154.78162907391516
97,-147.4232715098885,-154.70576971758499
98,-151.93510914149064,-154.67749767089012
99,-111.87055867922612,-154.245104347742
100,-152.49094014997448,-154.22756270576434
101,-134.14612632853394,-153.62054383104112
102,-156.8053960497336,-153.34829073422722
103,-145.76689044463998,-153.02665173214712
104,-152.25039554889725,-152.7916436964227
105,-139.67600662492214,-152.49837486785088
106,-133.48681882510098,-152.05748627904927
107,-144.6365250389095,-151.6385625179487
108,-141.53766259122665,-151.25400344730213
109,-153.29677591138034,-151.2300192511524
110,-150.58866461295543,-151.01406161319545
111,-108.87937379495452,-150.31489312595485
112,-158.89999773969166,-150.0598456523325
113,-109.21058104955024,-149.42872182254501
114,-169.59918223324232,-149.31578681882013
115,-159.0709153073339,-149.2508495509968
116,-168.1020704681332,-149.33537819203656
117,-165.66560876829243,-149.50691322805432
118,-146.56050297920342,-149.20961184060548
119,-163.66359713819298,-149.18150480404526
120,-167.07766208583465,-149.5601178620954
121,-134.0967383049646,-149.28975187309098
122,-135.26657048549947,-148.9567342299894
123,-166.47839585795577,-149.0089816709514
124,-145.1815168186091,-148.78363470597526
125,-133.29410797070898,-148.72504895597774
126,-151.98683711466182,-148.9035176037621
127,-153.9779204512894,-148.784072175807
128,-160.05807838326436,-149.079787736296
129,-156.03916792015667,-149.00536501372167
130,-168.1473679522424,-149.02861683688587
131,-121.13938233799493,-148.66471483114802
132,-135.86135922555485,-148.26316787789494
133,-147.756465256705,-148.15366907847317
134,-147.11261017633777,-148.14133920444573
135,-131.78844658604845,-148.20779188127656
136,-120.41522349189742,-147.88381627437974
137,-126.08275263709027,-147.86693576702547
138,-130.57280926802818,-147.39934859364158
139,-127.68592669621266,-147.2518111244269
140,-147.1095628812339,-147.0235694045376
141,-100.30804888038938,-146.53140054164555
142,-138.45167567565096,-146.47087240473758
143,-155.17080463288312,-146.61368610523832
144,-109.97784042472053,-146.13220403253544
145,-98.36783093109146,-145.33311846916683
146,-139.71845863641119,-145.07736868024398
147,-106.09686834085271,-144.71076425852922
148,-103.24325500644471,-143.86621956700674
149,-116.33776175244131,-143.58902600124458
150,-105.51516914921042,-142.88734418305836
151,-132.4928821227406,-142.54822362418707
152,-125.64770304156471,-142.1442772956119
153,-102.55300574293908,-141.58690355392702
154,-121.34302954222562,-141.08575080223576
155,-126.32953869323593,-140.7555152395464
156,-113.04272976049033,-140.76106438850712
157,-125.21075825308094,-140.36150057301865
158,-111.35394732850352,-140.0743541263341
159,-93.5479311918283,-139.62712808379615
160,-92.47799625427315,-139.08825692084466
161,-79.38689431574767,-138.18099974844787
162,-86.76974245843132,-137.89119511603928
163,-76.18339010497476,-136.9343927119004
164,-91.39392731100558,-136.51000133353173
165,-95.66447253758827,-135.65007667489047
166,-67.0335512435179,-134.67496444112805
167,-99.66586009566308,-134.57657250992287
168,-90.81821235742844,-133.98458509386518
169,-93.95890875821954,-133.37461921694452
170,-70.42207470207427,-132.6437630710791
171,-82.08447180997,-132.0123956918873
172,-85.59545215995949,-131.4544314076921
173,-73.10871926251608,-130.73097808347475
174,-81.95028406993019,-129.86642934173574
175,-88.91716434265538,-129.53507626576004
176,-72.50841568878775,-128.76021383406885
177,-75.61807350359854,-127.9606762440907
178,-54.408539682860805,-126.94531814597298
179,-68.22661688252683,-126.0739616017615
180,-68.05284469411099,-125.18315430033107
181,-40.33707970984157,-124.29784345929139
182,-48.36860187859446,-123.28457662157297
183,-68.82362398942483,-122.5606905329717
184,-58.849746471508915,-121.84091826531274
185,-77.19767685071878,-121.12404768946017
186,-71.83869397378594,-120.31449234847119
187,-75.08207118701645,-119.5352875253842
188,-25.201917724685284,-118.23177929689777
189,-42.88745409244216,-117.07600578678377
190,-30.845377614562793,-115.77245224478791
191,-66.62866932316604,-115.07858208077464
192,-33.092833792923756,-113.84738389712423
193,-84.68231106927632,-113.2312432907661
194,-70.18095848739341,-112.75593371919734
195,-83.03578654208658,-112.27927772162504
196,-78.25012408062652,-112.46949650968365
197,-68.37299380499309,-111.67899373263468
198,-70.43823129227891,-110.86402495414256
199,-46.7400861564142,-110.21272022891443
200,-76.37863681539366,-109.45159719556865
201,-23.845935628519985,-108.3485952885685
202,-32.4293745284929,-107.1048350733561
203,-72.29659873915386,-106.37013215630124
204,-45.90800532745771,-105.30670825408683
205,-66.5136425820403,-104.575084613658
206,-70.21291684525241,-103.94234559385954
207,-30.961867756283695,-102.80559902103327
208,-68.94542940516884,-102.07967668917269
209,-69.25385264658959,-101.23924745652477
210,-70.30325755872082,-100.43639338598243
211,-65.56092826164735,-100.00320893064935
212,-67.59171520095475,-99.09012610526199
213,-69.48840699358527,-98.69290436470236
214,-39.101683355058526,-97.38792937592052
215,-64.03413572059512,-96.4375615800531
216,-43.542968181329925,-95.19197055718507
217,-58.52125989333542,-94.12052706843549
218,-66.33795183573207,-93.3183015570008
219,-58.59882786593744,-92.26765386427823
220,-31.02388627349494,-90.90711610615485
221,-48.155913831602476,-90.04770786142122
222,-67.71165340258764,-89.37215869059212
223,-67.41379706179018,-88.38151270263046
224,-67.60363356514904,-87.60573387009589
225,-73.77627386872571,-87.01055552907603
226,-63.979293267737035,-86.13048009060678
227,-59.343837120472145,-85.18413925729861
228,-64.09243274401867,-84.22448280090616
229,-46.523330946409985,-83.12932443116868
230,-78.05984418750643,-82.22844919352131
231,-26.187616745049286,-81.27893153759187
232,-63.89118401784372,-80.55922978551475
233,-32.949454321459285,-79.41115967616228
234,-71.6345354647508,-78.65637892904643
235,-72.34431673036278,-78.06193763048958
236,-32.152877380098914,-77.1793141693716
237,-72.97518305783444,-76.64823847357903
238,-24.96059215431358,-75.59211630244188
239,-65.69983810176376,-74.97225541649739
240,-68.58040095354983,-74.18696379722056
241,-69.55609402335989,-73.87944424865026
242,-66.62422803803312,-73.16116977227406
243,-22.71496819657933,-71.83661140791104
244,-58.78090354586463,-71.32464203912248
245,-65.66126268522325,-70.9975763566638
246,-69.04452344373962,-70.29083700473707
247,-28.313012560380212,-69.51299844693236
248,-72.42454559983435,-69.20481135286626
249,-28.58032217176193,-68.32723695705945
250,-61.58137459488883,-67.88789901151625
251,-66.43195596544201,-67.22728974994325
252,-70.70491659968583,-66.67786188552446
253,-52.85429327794195,-66.1808747608745
254,-65.3429812778801,-65.62087427823104
255,-52.84500483263798,-64.88602893962506
256,-61.48403374356902,-64.37044197945585
257,-60.46815625234861,-63.723015959448524
258,-54.12340558182943,-63.15071054198178
259,-34.519720429656424,-62.56042843436006
260,-74.4424948269741,-62.380073420087086
261,-51.692850971582885,-62.103132986645434
262,-37.362285733166544,-61.60905841939279
263,-81.24507425674534,-61.65967526091048
264,-53.27335397016219,-61.27846952750205
265,-43.32535686821598,-60.755078370808334
266,-71.16616070288322,-60.79640446540199
267,-42.81092838880416,-60.227855148333404
268,-38.56079271394754,-59.705280951898594
269,-26.482667801078783,-59.03051854232718
270,-52.64566246285497,-58.85275441993499
271,-35.608742711074775,-58.38799712894603
272,-63.49295411620775,-58.16697214850852
273,-63.454708742805074,-58.07043204331141
274,-52.14332195482035,-57.77236242216031
275,-60.50870757369852,-57.488277854470745
276,-52.33360836145107,-57.28652978119738
277,-37.10948614637897,-56.90144390762518
278,-35.358049907107244,-56.710939009867644
279,-65.7481759022611,-56.686154600064995
280,-52.21702379707422,-56.52779639109462
281,-20.566091616933097,-56.33008651016553
282,-59.405786833213305,-56.44045835971171
283,-42.7881999906275,-56.18010411972374
284,-64.53650032463362,-56.23697165825499
285,-67.54425225082772,-56.14043741225607
286,-70.17792912478741,-56.123829763766096
287,-51.177275800884715,-55.88478180990478
288,-64.90105266886947,-56.28177315934662
289,-54.63698223129798,-56.399268440735185
290,-26.437204233842074,-56.35518670692798
291,-53.312419662920654,-56.222024210325515
292,-70.1621928448939,-56.59271780084522
293,-47.693259559993244,-56.22282728575238
294,-71.0854835058644,-56.23187253593709
295,-57.253411399812904,-55.97404878451436
296,-68.64379819238594,-55.877985525631956
297,-64.21481898925278,-55.83640377747456
298,-57.63954999014691,-55.70841696445324
299,-70.29024339878077,-55.943918536876915
300,-63.19392024910684,-55.812071371214046
301,-69.7249463484951,-56.27086147841379
302,-63.99184660707807,-56.58648619919964
303,-63.105922127142364,-56.49457943307952
304,-42.392995178588336,-56.45942933159083
305,-26.059459581012828,-56.05488750158056
306,-52.449653565689054,-55.87725486878491
307,-47.505782549209286,-56.04269401671418
308,-37.78355572889599,-55.73107527995145
309,-64.00401645600024,-55.67857691804556
310,-63.20617171752068,-55.60760605963356
311,-24.923878321430806,-55.20123556023139
312,-63.096042163078046,-55.15627882985262
313,-51.51233249085494,-54.9765180848253
314,-70.02567716655776,-55.2857580229403
315,-69.7590297502378,-55.34300696323673
316,-36.536665655108955,-55.27294393797452
317,-60.77849498638505,-55.29551628890502
318,-60.834007441411615,-55.24047684496181
319,-63.511400434471746,-55.289602570647155
320,-69.75339905750437,-55.67689769848725
321,-63.245102124367385,-55.82778958141491
322,-42.20883082900792,-55.572761355679106
323,-69.46013859130127,-55.59322477097422
324,-26.736772469165068,-55.184556160014374
325,-26.41043337222415,-54.71089775504935
326,-57.53178519527564,-54.64642267432474
327,-36.73935461780513,-54.42037784929808
328,-52.18185730729515,-54.30127209493085
329,-52.04745886642266,-54.35651337413097
330,-60.84034991688242,-54.184318431424735
331,-37.41648918663241,-54.296607155840555
332,-64.13770907482737,-54.299072406410396
333,-71.12035966275548,-54.68078145982336
334,-63.167076223867866,-54.596106867414534
335,-70.29619071337528,-54.57562560724465
336,-69.93780921160928,-54.95347492555977
337,-70.89537867800775,-54.93267688176149
338,-24.99949715286631,-54.93306593174702
339,-24.7816252277243,-54.523883803006626
340,-37.82351815884205,-54.21631497505956
341,-63.42988919435966,-54.15505292676955
342,-32.218224505487925,-53.8109928914441
343,-50.60058847819472,-54.08984909426025
344,-25.079394265827474,-53.75283400145988
345,-70.7631377773321,-53.80385275238096
346,-71.22216829026571,-53.825629200846215
347,-42.043558556899534,-53.962934660811406
348,-53.84258277163422,-53.777115032529416
349,-56.68396802089855,-54.05815149102077
350,-26.09693377806972,-53.70330708285259
351,-20.68010674334153,-53.245788590631584
352,-23.34800735583342,-52.77221949819306
353,-63.53598589985984,-52.879036424412234
354,-56.78948351136944,-52.79350144674712
355,-37.72337882463177,-52.64228518666707
356,-64.05924841638851,-52.66803733339526
357,-60.69392896987536,-52.670295060570524
358,-16.637923946463594,-52.29544024421686
359,-41.80839136643635,-52.368326953584656
360,-60.729278399555405,-52.23119478931048
361,-25.045489256317488,-51.96472117215782
362,-70.19797453572679,-52.29307806018343
363,-47.693878473704025,-51.95756610235302
364,-69.83899123568912,-52.12322247500829
365,-63.41738357372419,-52.32414274206336
366,-65.28670790121788,-52.26534821404671
367,-70.94893842848,-52.54672831444347
368,-52.71493944233322,-52.68826978172732
369,-47.744753369833816,-52.90089063741489
370,-24.87913579774631,-52.62322537076379
371,-38.78676318852932,-52.65500557553835
372,-43.24893670298751,-52.45256540140615
373,-57.557586038996206,-52.393594174368054
374,-64.52148994027377,-52.51737585422259
375,-71.21564297574601,-52.62444520824306
376,-69.48175444737166,-52.795926669102265
377,-54.06601058223013,-52.965491913460774
378,-38.00748608434671,-52.991986275233174
379,-57.53020845892532,-52.90980660079982
380,-21.13261445108301,-52.59896250733991
381,-42.8147474553931,-52.82144906572452
382,-25.182189923391995,-52.479213096626296
383,-66.13180472536087,-52.71264914397363
384,-65.04463597321799,-52.717730500459474
385,-36.907601237242616,-52.411363990323615
386,-36.63923790947858,-52.07597707817054
387,-60.68047100979323,-52.17100903025961
388,-51.79287256645178,-52.03992722923544
389,-70.38952802268037,-52.19745268714926
390,-70.50931459642791,-52.63817379077512
391,-63.34872645821139,-52.73853685872804
392,-60.853905079467154,-52.64545398107377
393,-24.934548116720645,-52.41786686664105
394,-53.68196744117991,-52.2438317059942
395,-71.00779237054917,-52.381375515701556
396,-38.50723053196912,-52.08000983909739
397,-70.75093993700762,-52.14537104857494
398,-60.75665429210826,-52.176542091594555
399,-69.81524384360765,-52.17179209604281
400,-69.47666148175057,-52.23461950836925
401,-43.37227440292597,-51.97109278891356
402,-60.70012779523468,-51.93817560079512
403,-60.768388686120026,-51.9148002663849
404,-26.404276066023378,-51.754913075259246
405,-38.781162062892385,-51.88213010007805
406,-70.70517328719026,-52.06468529729306
407,-53.64743558685593,-52.12610182766953
408,-63.239896899343634,-52.380665239374004
409,-25.525350126238123,-51.995878576076386
410,-43.22995271711726,-51.79611638607234
411,-21.239869125821517,-51.75927629411624
412,-56.71788656190685,-51.69549473810454
413,-70.4797385709449,-51.88516879890544
414,-64.73073156639582,-51.83221934290383
415,-24.96439006106921,-51.38427294601213
416,-16.705015978549444,-51.18595644924654
417,-63.23771347562379,-51.21054863413892
418,-63.41653320691853,-51.236373891794
419,-56.68469615526442,-51.16810684900192
420,-70.78708293687032,-51.17844368779558
421,-37.840562252449814,-50.92439828907641
422,-53.286007267820935,-51.03517005346455
423,-70.96233692847208,-51.05019203683624
424,-53.13029407051962,-51.314127252849794
425,-36.997193318154665,-51.4199948523091
426,-50.915577549748406,-51.353832775853824
427,-60.30904998093983,-51.58952972948518
428,-63.14304666778078,-51.699141623090036
429,-64.55983308469263,-51.82426536527272
430,-38.50672318222369,-51.60092909792615
431,-38.3428882909464,-51.61019308896928
432,-60.5536241231125,-51.57435223945214
433,-63.20122157566581,-51.49516085858124
