episode,reward,avg_100
1,-185.510113621105,-185.510113621105
2,-191.3157445608147,-188.41292909095984
3,-194.98808079013165,-190.60464632401712
4,-190.83184346720319,-190.66144560981363
5,-189.8154164017713,-190.49223976820517
6,-187.16912888168773,-189.93838795378562
7,-193.50469116484382,-190.44785984107963
8,-193.520302225708,-190.83191513915818
9,-181.7197311074471,-189.81945024674584
10,-188.7829163221991,-189.71579685429117
11,-193.98162382195136,-190.10359930589664
12,-192.2654497365472,-190.28375350845081
13,-189.3403113568189,-190.21118103524836
14,-187.05755560470914,-189.98592207592415
15,-192.77137545268576,-190.17161896770824
16,-186.32672036043098,-189.93131280475342
17,-189.36647108356317,-189.898086821154
18,-196.5770533004853,-190.26914051445019
19,-195.47464137981265,-190.5431142442061
20,-195.2497985600652,-190.77844845999905
21,-193.9392181326674,-190.9289613015547
22,-195.92030211126593,-191.15584042926884
23,-192.20881873630782,-191.20162209479227
24,-183.3126031571532,-190.87291297239065
25,-195.1281322170271,-191.0431217421761
26,-197.53100620131363,-191.29265575983524
27,-190.44918607192278,-191.26141614176439
28,-194.6624142980677,-191.38288036163235
29,-185.2903460032028,-191.1727929699624
30,-194.98754677184843,-191.29995143002526
31,-194.14160048978044,-191.391617528727
32,-192.0769777554965,-191.4130350358136
33,-197.09646958179758,-191.58526032508584
34,-195.66307548552467,-191.70519606509876
35,-184.8328667612677,-191.508843799275
36,-189.34873310183434,-191.4488407243461
37,-195.6131658386763,-191.56139005176044
38,-187.97993127453148,-191.4671411365702
39,-196.26817212085456,-191.5902444951416
40,-187.28881243650403,-191.48270869367565
41,-190.48432326350996,-191.45835782952526
42,-197.43401231536225,-191.6006353172833
43,-193.8561360505908,-191.65308882270904
44,-190.9895362213598,-191.63800808176927
45,-192.81299772211307,-191.66411896266578
46,-189.59866080965602,-191.6192176984699
47,-192.07199177497668,-191.62885118945943
48,-185.92199496696117,-191.50995835149078
49,-184.06754514490464,-191.3580723676829
50,-190.67181470480585,-191.3443472144253
51,-195.95649081863652,-191.4347814027432
52,-194.49790239040135,-191.49368757558278
53,-197.45295727542478,-191.6061266265232
54,-193.46421349451464,-191.64053564259714
55,-194.56197495333134,-191.69365272097411
56,-194.39177643383616,-191.7418335015609
57,-195.59419071210655,-191.80941871578102
58,-190.18381927720952,-191.7813911392539
59,-195.6451229367942,-191.84687811887326
60,-191.08313989606546,-191.8341491484931
61,-193.5425080791149,-191.8621550326017
62,-191.54061606193756,-191.8569689201716
63,-186.24683611739152,-191.76791919314337
64,-193.36553149028606,-191.7928818852862
65,-194.78430592508707,-191.83890379359082
66,-189.07272907531376,-191.79699205543508
67,-192.6384374662859,-191.8095509421642
68,-193.14446081040103,-191.82918196963828
69,-192.4327093226198,-191.8379287428699
70,-183.066807578431,-191.71262701194934
71,-194.51740162744113,-191.75213087977318
72,-185.13140645477975,-191.6601763738705
73,-191.3393832676436,-191.6557819477578
74,-190.9348820753178,-191.6460400575897
75,-194.23833767829456,-191.68060402586576
76,-192.69371932825223,-191.69393449037085
77,-187.23762494197308,-191.63606034039165
78,-186.990878592018,-191.57650672823303
79,-180.61801212627972,-191.43779160668933
80,-190.28044927252316,-191.4233248275122
81,-184.65490135395902,-191.3397640438881
82,-191.8669098771997,-191.3461926516114
83,-188.57694662596384,-191.31282824166385
84,-191.18266304545858,-191.31127865599473
85,-187.6473326508452,-191.26817340887533
86,-190.5526884440719,-191.25985381626134
87,-181.2238376588256,-191.1444973087046
88,-189.49179491846797,-191.12571659972465
89,-185.04416779757233,-191.0573845907117
90,-195.148595029481,-191.10284248447581
91,-193.06984400338524,-191.1244578857825
92,-193.71757444148474,-191.15264393530103
93,-189.8830161286587,-191.13899202340167
94,-188.931737332591,-191.1155105905207
95,-191.17184127177416,-191.1161035450602
96,-187.95106258150886,-191.0831343683565
97,-192.51690857954324,-191.0979155457914
98,-175.73458579571275,-190.94114687487223
99,-194.41847884554045,-190.97627144023252
100,-183.20408910522903,-190.8985496168825
101,-193.25141113383157,-190.97596259200972
102,-177.52421397910538,-190.83804728619268
103,-191.60563119274107,-190.80422279021874
104,-193.9488174591256,-190.83539253013797
105,-190.05727802475528,-190.83781114636787
106,-192.61869453422173,-190.89230680289322
107,-176.85629339599376,-190.72582282520472
108,-191.4964429719449,-190.7055842326671
109,-186.0384580142455,-190.74877150173504
110,-186.25999879414502,-190.7235423264545
111,-191.41168840496746,-190.69784297228466
112,-188.9309956644155,-190.66449843156337
