episode,reward,avg_100
1,-157.55270996897943,-157.55270996897943
2,-159.0996702391474,-158.32619010406341
3,-160.06761827604782,-158.90666616139154
4,-161.90892804165003,-159.65723163145617
5,-160.8106415727584,-159.8879136197166
6,-160.7133955784774,-160.02549394617674
7,-161.21716404522186,-160.19573253175463
8,-159.83913091897017,-160.15115733015656
9,-156.47084566117925,-159.7422338113813
10,-162.67730532954909,-160.03574096319807
11,-162.97511995546597,-160.30295723522244
12,-151.07555823433555,-159.53400731848186
13,-160.42403620322588,-159.6024710788468
14,-155.63128348897106,-159.3188148224271
15,-161.90536015285576,-159.491251177789
16,-158.6499324832102,-159.43866875937783
17,-160.06681170764395,-159.47561834456997
18,-156.08891977579688,-159.28746842408256
19,-160.96666838013243,-159.37584736913783
20,-159.11612476270432,-159.36286123881615
21,-158.37175496962118,-159.3156657021878
22,-158.20282147553692,-159.26508187370368
23,-159.65250046592746,-159.28192616032212
24,-158.77799165487738,-159.2609288892619
25,-151.41483634262843,-158.94708518739654
26,-161.16661452073515,-159.03245170021728
27,-160.8502308069654,-159.09977685231908
28,-152.67787674708796,-158.87042327713223
29,-155.72073826205263,-158.76181344902605
30,-153.45346523374792,-158.58486850851676
31,-159.84682211629413,-158.6255766894128
32,-161.5421860184162,-158.71672073094416
33,-161.01635706591142,-158.78640668048862
34,-160.80774584018351,-158.84585783224435
35,-159.0697028296534,-158.8522534035989
36,-151.80582575995868,-158.65651930238667
37,-149.40382588940003,-158.40644650744107
38,-158.72244330288908,-158.41476221258444
39,-158.40295440493406,-158.41445944828573
40,-149.07598265017307,-158.1809975283329
41,-159.48104770200575,-158.2127060691542
42,-159.99893463940344,-158.25523532082678
43,-154.23685160319206,-158.16178453669573
44,-153.58899593775746,-158.0578575230835
45,-159.90194035065812,-158.09883714147406
46,-155.17072588378537,-158.0351825489156
47,-158.17606894697184,-158.03818013185298
48,-156.3203316806125,-158.00239162245214
49,-157.67698912063184,-157.99575075506806
50,-160.78299698725385,-158.05149567971176
51,-150.77859621705582,-157.90888980789498
52,-154.76770498138382,-157.84848240738515
53,-159.62288723650207,-157.8819617437836
54,-159.26007711084776,-157.90748239872923
55,-157.53116539998746,-157.90064027147938
56,-159.66444425083705,-157.93213677111075
57,-155.47321259069625,-157.88899775040173
58,-158.3395946909209,-157.8967666631693
59,-159.1511524435004,-157.9180274391071
60,-156.4065374466931,-157.89283593923355
61,-159.49270953528986,-157.9190633752345
62,-158.17934582941126,-157.92326147933412
63,-155.66656038619433,-157.88744082706205
64,-156.86286515134057,-157.8714318321289
65,-163.20725609053818,-157.95352143610444
66,-160.74054328028132,-157.99574903980408
67,-158.824965208991,-158.0081254005382
68,-157.44505442318723,-157.99984494498892
69,-159.38489301837302,-158.01991810547275
70,-160.257435372585,-158.05188263786007
71,-156.98821017504696,-158.0369013355669
72,-161.15694217454333,-158.08023523610825
73,-156.48385126936068,-158.05836696259118
74,-159.67014723979943,-158.08014777714806
75,-161.125983154209,-158.12075891550884
76,-159.56678472299723,-158.13978557087054
77,-157.9080128897379,-158.13677553605066
78,-148.34117442381623,-158.01119090640663
79,-159.81043517652196,-158.03396615033213
80,-158.84942822597156,-158.04415942627762
81,-158.0262849262466,-158.04393875343771
82,-156.51927647549985,-158.02534531102384
83,-163.0277025737036,-158.08561467563445
84,-162.14382772800462,-158.1339267357817
85,-154.45825376133809,-158.09068352431768
86,-161.26974975709163,-158.12764941074528
87,-157.42027987263506,-158.11951872639918
88,-155.26922238213848,-158.0871289952144
89,-159.2500862703638,-158.10019593089024
90,-163.08725991482248,-158.15560775293395
91,-161.4561506231322,-158.19187745480426
92,-157.0265062507052,-158.17921037649884
93,-157.9073494939304,-158.1762871412024
94,-162.87294904694278,-158.22625162956135
95,-161.0777129293018,-158.25626701166388
96,-160.58275074397352,-158.28050121720875
97,-160.51650207418706,-158.30355277243532
98,-161.62065045156243,-158.33740070793664
99,-162.1471664071073,-158.37588318974645
100,-160.093252948949,-158.39305688733847
101,-156.80460839019537,-158.3855758715506
102,-162.19996964829198,-158.41657886564207
103,-163.03566555756726,-158.44625933845725
104,-159.2038175546874,-158.41920823358765
105,-161.45941755578673,-158.4256959934179
106,-160.26813015877775,-158.42124333922092
107,-157.81451853654616,-158.38721688413415
108,-158.17975328939596,-158.37062310783844
109,-158.16661899202435,-158.38758084114687
110,-159.6579640853225,-158.3573874287046
111,-157.13371257534934,-158.29897335490344
112,-162.1934485804956,-158.41015225836506
113,-158.665079613125,-158.39256269246403
114,-159.57620089079478,-158.43201186648227
115,-158.67730320314718,-158.39973129698518
116,-160.9534217316937,-158.42276618947
117,-161.2132716614595,-158.43423078900815
118,-161.55554378742096,-158.4888970291244
119,-154.50278594660952,-158.4242582047892
120,-156.31416053329596,-158.3962385624951
121,-157.5525998245842,-158.38804701104473
122,-159.56922669009566,-158.40171106319033
123,-161.4175203947908,-158.41936126247896
124,-157.9712906752663,-158.41129425268284
125,-162.47489090023114,-158.52189479825884
